stego_filename,subset,expected_type,payload_type,payload_size_class,lsb,mode,predicted_type,correct
XL-Synthetic_13_P__rtf_small__lsb2.png,extended_xl,RTF,RTF,small,2,full,RTF,1
XL-Synthetic_13_P__rtf_small__lsb2.png,extended_xl,RTF,RTF,small,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__rtf_small__lsb2.png,extended_xl,RTF,RTF,small,2,no_buffer,RTF,1
XL-Synthetic_13_P__rtf_small__lsb2.png,extended_xl,RTF,RTF,small,2,no_markers,RTF,1
XL-Synthetic_13_P__rtf_small__lsb3.png,extended_xl,RTF,RTF,small,3,full,RTF,1
XL-Synthetic_13_P__rtf_small__lsb3.png,extended_xl,RTF,RTF,small,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__rtf_small__lsb3.png,extended_xl,RTF,RTF,small,3,no_buffer,RTF,1
XL-Synthetic_13_P__rtf_small__lsb3.png,extended_xl,RTF,RTF,small,3,no_markers,RTF,1
XL-Synthetic_13_P__xlsx_large__lsb3.png,extended_xl,XLSX,XLSX,large,3,full,XLSX,1
XL-Synthetic_13_P__xlsx_large__lsb3.png,extended_xl,XLSX,XLSX,large,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__xlsx_large__lsb3.png,extended_xl,XLSX,XLSX,large,3,no_buffer,ZIP,0
XL-Synthetic_13_P__xlsx_large__lsb3.png,extended_xl,XLSX,XLSX,large,3,no_markers,ZIP,0
XL-Synthetic_13_P__xlsx_medium__lsb2.png,extended_xl,XLSX,XLSX,medium,2,full,XLSX,1
XL-Synthetic_13_P__xlsx_medium__lsb2.png,extended_xl,XLSX,XLSX,medium,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__xlsx_medium__lsb2.png,extended_xl,XLSX,XLSX,medium,2,no_buffer,ZIP,0
XL-Synthetic_13_P__xlsx_medium__lsb2.png,extended_xl,XLSX,XLSX,medium,2,no_markers,ZIP,0
XL-Synthetic_13_P__xlsx_medium__lsb3.png,extended_xl,XLSX,XLSX,medium,3,full,XLSX,1
XL-Synthetic_13_P__xlsx_medium__lsb3.png,extended_xl,XLSX,XLSX,medium,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__xlsx_medium__lsb3.png,extended_xl,XLSX,XLSX,medium,3,no_buffer,ZIP,0
XL-Synthetic_13_P__xlsx_medium__lsb3.png,extended_xl,XLSX,XLSX,medium,3,no_markers,ZIP,0
XL-Synthetic_13_P__xlsx_small__lsb1.png,extended_xl,XLSX,XLSX,small,1,full,XLSX,1
XL-Synthetic_13_P__xlsx_small__lsb1.png,extended_xl,XLSX,XLSX,small,1,no_deinterleaving,XLSX,1
XL-Synthetic_13_P__xlsx_small__lsb1.png,extended_xl,XLSX,XLSX,small,1,no_buffer,ZIP,0
XL-Synthetic_13_P__xlsx_small__lsb1.png,extended_xl,XLSX,XLSX,small,1,no_markers,ZIP,0
XL-Synthetic_13_P__xlsx_small__lsb2.png,extended_xl,XLSX,XLSX,small,2,full,XLSX,1
XL-Synthetic_13_P__xlsx_small__lsb2.png,extended_xl,XLSX,XLSX,small,2,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__xlsx_small__lsb2.png,extended_xl,XLSX,XLSX,small,2,no_buffer,ZIP,0
XL-Synthetic_13_P__xlsx_small__lsb2.png,extended_xl,XLSX,XLSX,small,2,no_markers,ZIP,0
XL-Synthetic_13_P__xlsx_small__lsb3.png,extended_xl,XLSX,XLSX,small,3,full,XLSX,1
XL-Synthetic_13_P__xlsx_small__lsb3.png,extended_xl,XLSX,XLSX,small,3,no_deinterleaving,UNKNOWN,0
XL-Synthetic_13_P__xlsx_small__lsb3.png,extended_xl,XLSX,XLSX,small,3,no_buffer,ZIP,0
XL-Synthetic_13_P__xlsx_small__lsb3.png,extended_xl,XLSX,XLSX,small,3,no_markers,ZIP,0
