subset,stego_filename,stego_path,cover_filename,cover_category,cover_variant,cover_size_label,cover_format,payload_filename,payload_type,payload_size_class,lsb,expected_type,resolved_stego_path,baseline_detected_type,baseline_status,baseline_exact_correct,structural_detected_type,structural_validation_status,structural_correct,tag_size,payload_length,tag_endian,header_hex,runtime_seconds,error
core,Flat-Color_2_M__rtf_medium__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_medium__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P05.rtf,rtf,medium,3,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_medium__lsb3.png,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,511504,little,7b 5c 72 74 66 31 5c 61,0.773698,
core,Flat-Color_2_M__rtf_small__lsb1.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_small__lsb1.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P05.rtf,rtf,small,1,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_small__lsb1.png,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,50275,little,7b 5c 72 74 66 31 5c 61,0.843359,
core,Flat-Color_2_M__rtf_small__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_small__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P05.rtf,rtf,small,2,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_small__lsb2.png,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,50275,little,7b 5c 72 74 66 31 5c 61,0.705634,
core,Flat-Color_2_M__rtf_small__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_small__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P05.rtf,rtf,small,3,RTF,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__rtf_small__lsb3.png,RTF,signature_rtf,1,RTF,validated_rtf_structure,1,3,50275,little,7b 5c 72 74 66 31 5c 61,0.605735,
core,Flat-Color_2_M__xlsx_large__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_large__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P03.xlsx,xlsx,large,3,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_large__lsb3.png,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,1090468,little,50 4b 03 04 14 00 06 00,0.764507,
core,Flat-Color_2_M__xlsx_medium__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_medium__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P03.xlsx,xlsx,medium,2,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_medium__lsb2.png,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,511280,little,50 4b 03 04 14 00 06 00,0.809967,
core,Flat-Color_2_M__xlsx_medium__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_medium__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P03.xlsx,xlsx,medium,3,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_medium__lsb3.png,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,511280,little,50 4b 03 04 14 00 06 00,0.694058,
core,Flat-Color_2_M__xlsx_small__lsb1.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_small__lsb1.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P03.xlsx,xlsx,small,1,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_small__lsb1.png,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,8899,little,50 4b 03 04 14 00 06 00,0.550570,
core,Flat-Color_2_M__xlsx_small__lsb2.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_small__lsb2.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P03.xlsx,xlsx,small,2,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_small__lsb2.png,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,8899,little,50 4b 03 04 14 00 06 00,0.566755,
core,Flat-Color_2_M__xlsx_small__lsb3.png,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_small__lsb3.png,Flat-Color_2_M.png,Flat-Color,2,M,png,P03.xlsx,xlsx,small,3,XLSX,/home/kali/stego_dataset_expanded/stego_core_combined/Flat-Color_2_M__xlsx_small__lsb3.png,ZIP,signature_pk_zip,0,XLSX,validated_ooxml_xlsx,1,3,8899,little,50 4b 03 04 14 00 06 00,0.577037,
core,Grayscale_2_M__docx_large__lsb3.bmp,/home/kali/Desktop/stego_dataset_expanded/stego_core_combined/Grayscale_2_M__docx_large__lsb3.bmp,Grayscale_2_M.bmp,Grayscale,2,M,bmp,P01.docx,docx,large,3,DOCX,/home/kali/stego_dataset_expanded/stego_core_combined/Grayscale_2_M__docx_large__lsb3.bmp,ZIP,signature_pk_zip,0,DOCX,validated_ooxml_docx,1,3,1121154,little,50 4b 03 04 14 00 06 00,0.786493,
